Time,Angle
04/17/2017 10:03:11,-21.56999969
04/17/2017 10:03:35,-20.83600044
04/17/2017 10:04:05,-21.33499908
04/17/2017 10:04:29,-20.60700035
04/17/2017 10:04:59,-21.09199905
04/17/2017 10:05:23,-20.37000084
04/17/2017 10:06:05,-20.84700012
04/17/2017 10:06:29,-20.06999969
04/17/2017 10:06:59,-20.58099937
04/17/2017 10:07:29,-19.84300041
04/17/2017 10:07:53,-20.36100006
04/17/2017 10:08:23,-19.61300087
04/17/2017 10:08:53,-20.10300064
04/17/2017 10:09:17,-19.37100029
04/17/2017 10:09:47,-19.86300087
04/17/2017 10:10:17,-19.09399986
04/17/2017 10:10:41,-19.65399933
04/17/2017 10:11:11,-18.88899994
04/17/2017 10:11:35,-19.39999962
04/17/2017 10:12:05,-18.66399956
04/17/2017 10:12:29,-19.18199921
04/17/2017 10:12:59,-18.4090004
04/17/2017 10:13:35,-18.91500092
04/17/2017 10:13:59,-18.16500092
04/17/2017 10:14:29,-18.67700005
04/17/2017 10:14:53,-17.93000031
04/17/2017 10:15:23,-18.44000053
04/17/2017 10:15:53,-17.70199966
04/17/2017 10:16:17,-18.21999931
04/17/2017 10:16:47,-17.5
04/17/2017 10:17:17,-17.95700073
04/17/2017 10:17:41,-17.22900009
04/17/2017 10:18:11,-17.71299934
04/17/2017 10:18:41,-16.98699951
04/17/2017 10:19:11,-17.4810009
04/17/2017 10:19:35,-16.76099968
04/17/2017 10:20:05,-17.25799942
04/17/2017 10:20:29,-16.52799988
04/17/2017 10:21:05,-16.98999977
04/17/2017 10:21:29,-16.24399948
04/17/2017 10:22:05,-16.74799919
04/17/2017 10:22:35,-15.9829998
04/17/2017 10:23:05,-16.47900009
04/17/2017 10:23:29,-15.7329998
04/17/2017 10:23:59,-16.25699997
04/17/2017 10:24:23,-15.51099968
04/17/2017 10:24:59,-15.99800014
04/17/2017 10:25:29,-15.20800018
04/17/2017 10:25:59,-15.74699974
04/17/2017 10:26:23,-14.98600006
04/17/2017 10:26:53,-15.50500011
04/17/2017 10:27:23,-14.7489996
04/17/2017 10:27:53,-15.26500034
04/17/2017 10:28:17,-14.53899956
04/17/2017 10:28:47,-15.01599979
04/17/2017 10:29:17,-14.25800037
04/17/2017 10:29:47,-14.77000046
04/17/2017 10:30:11,-14.02200031
04/17/2017 10:30:41,-14.54300022
04/17/2017 10:31:05,-13.79899979
04/17/2017 10:31:35,-14.31799984
04/17/2017 10:32:05,-13.57600021
04/17/2017 10:32:29,-14.07600021
04/17/2017 10:32:59,-13.31700039
04/17/2017 10:33:29,-13.83300018
04/17/2017 10:33:53,-13.07999992
04/17/2017 10:34:23,-13.60000038
04/17/2017 10:34:47,-12.86600018
04/17/2017 10:35:17,-13.38899994
04/17/2017 10:35:41,-12.62699986
04/17/2017 10:36:11,-13.13599968
04/17/2017 10:36:36,-12.3760004
04/17/2017 10:37:11,-12.89700031
04/17/2017 10:37:36,-12.10700035
04/17/2017 10:38:06,-12.64799976
04/17/2017 10:38:35,-11.89599991
04/17/2017 10:39:00,-12.42399979
04/17/2017 10:39:05,-11.92800045
04/17/2017 10:39:30,-11.67000008
04/17/2017 10:40:00,-12.18299961
04/17/2017 10:40:30,-11.42300034
04/17/2017 10:41:00,-11.92000008
04/17/2017 10:41:24,-11.1420002
04/17/2017 10:41:54,-11.69400024
04/17/2017 10:42:17,-10.93200016
04/17/2017 10:42:47,-11.49300003
04/17/2017 10:43:11,-10.72299957
04/17/2017 10:43:41,-11.22500038
04/17/2017 10:44:05,-10.48200035
04/17/2017 10:44:35,-10.98799992
04/17/2017 10:44:53,-10.20600033
04/17/2017 10:45:05,-10.20100021
04/17/2017 10:45:41,-10.73999977
04/17/2017 10:46:05,-9.954999924
04/17/2017 10:46:35,-10.53499985
04/17/2017 10:47:05,-9.739999771
04/17/2017 10:47:29,-10.24600029
04/17/2017 10:47:59,-9.512000084
04/17/2017 10:48:23,-10.05700016
04/17/2017 10:48:29,-9.477999687
04/17/2017 10:48:53,-9.199999809
04/17/2017 10:49:23,-9.767999649
04/17/2017 10:49:47,-9.024000168
04/17/2017 10:50:17,-9.56099987
04/17/2017 10:50:41,-8.788000107
04/17/2017 10:51:11,-9.319999695
04/17/2017 10:51:35,-8.576999664
04/17/2017 10:52:05,-9.105999947
04/17/2017 10:52:29,-8.277999878
04/17/2017 10:52:59,-8.852000237
04/17/2017 10:53:23,-8.079999924
04/17/2017 10:53:53,-8.633999825
04/17/2017 10:54:17,-7.854000092
04/17/2017 10:54:47,-8.385000229
04/17/2017 10:55:17,-7.618000031
04/17/2017 10:55:41,-8.130000114
04/17/2017 10:55:47,-7.612999916
04/17/2017 10:56:11,-7.359000206
04/17/2017 10:56:35,-7.921999931
04/17/2017 10:57:05,-7.15500021
04/17/2017 10:57:29,-7.71999979
04/17/2017 10:57:59,-6.951000214
04/17/2017 10:58:23,-7.480999947
04/17/2017 10:58:53,-6.701000214
04/17/2017 10:59:17,-7.237999916
04/17/2017 10:59:23,-6.679999828
04/17/2017 10:59:47,-6.422999859
04/17/2017 11:00:18,-6.986000061
04/17/2017 11:00:41,-6.228000164
04/17/2017 11:01:11,-6.787000179
04/17/2017 11:01:36,-6.012000084
04/17/2017 11:02:06,-6.551000118
04/17/2017 11:02:29,-5.787000179
04/17/2017 11:02:59,-6.309000015
04/17/2017 11:03:23,-5.531000137
04/17/2017 11:03:53,-6.061999798
04/17/2017 11:03:59,-5.525000095
04/17/2017 11:04:23,-5.256000042
04/17/2017 11:04:47,-5.852000237
04/17/2017 11:04:53,-5.298999786
04/17/2017 11:05:17,-5.044000149
04/17/2017 11:05:41,-5.613999844
04/17/2017 11:06:11,-4.835000038
04/17/2017 11:06:35,-5.382999897
04/17/2017 11:07:05,-4.592000008
04/17/2017 11:07:29,-5.157000065
04/17/2017 11:07:35,-4.618999958
04/17/2017 11:07:59,-4.361000061
04/17/2017 11:08:23,-4.927999973
04/17/2017 11:08:53,-4.131999969
04/17/2017 11:09:17,-4.712999821
04/17/2017 11:09:47,-3.914000034
04/17/2017 11:10:12,-4.473999977
04/17/2017 11:10:42,-3.723999977
04/17/2017 11:11:05,-4.243000031
04/17/2017 11:11:23,-3.450999975
04/17/2017 11:11:35,-3.431999922
04/17/2017 11:11:59,-4.008999825
04/17/2017 11:12:05,-3.476000071
04/17/2017 11:12:29,-3.207999945
04/17/2017 11:12:53,-3.796000004
04/17/2017 11:13:23,-3.023999929
04/17/2017 11:13:47,-3.561000109
04/17/2017 11:14:17,-2.803999901
04/17/2017 11:14:41,-3.319999933
04/17/2017 11:15:11,-2.563999891
04/17/2017 11:15:35,-3.072000027
04/17/2017 11:16:05,-2.321000099
04/17/2017 11:16:29,-2.875999928
04/17/2017 11:16:59,-2.109999895
04/17/2017 11:17:24,-2.638000011
04/17/2017 11:17:53,-1.881000042
04/17/2017 11:18:17,-2.398999929
04/17/2017 11:18:47,-1.651000023
04/17/2017 11:19:11,-2.174000025
04/17/2017 11:19:42,-1.414000034
04/17/2017 11:20:05,-1.937000036
04/17/2017 11:20:36,-1.182000041
04/17/2017 11:20:59,-1.720000029
04/17/2017 11:21:29,-0.97299999
04/17/2017 11:21:54,-1.488000035
04/17/2017 11:22:23,-0.728999972
04/17/2017 11:22:47,-1.222000003
04/17/2017 11:23:17,-0.481000006
04/17/2017 11:23:42,-1.023000002
04/17/2017 11:24:05,-0.252999991
04/17/2017 11:24:12,-0.240999997
04/17/2017 11:24:35,-0.797999978
04/17/2017 11:25:05,-0.050000001
04/17/2017 11:25:29,-0.572000027
04/17/2017 11:25:47,0.188999996
04/17/2017 11:25:53,-0.758000016
04/17/2017 11:25:54,-6.078999996
04/17/2017 11:25:59,-6.078999996
04/17/2017 11:26:00,-11.3739996
04/17/2017 11:26:05,-11.3739996
04/17/2017 11:26:06,-16.71100044
04/17/2017 11:26:11,-16.71100044
04/17/2017 11:26:12,-22.05900002
04/17/2017 11:26:17,-22.05900002
04/17/2017 11:26:18,-27.37700081
04/17/2017 11:26:23,-27.37700081
04/17/2017 11:26:24,-32.68299866
04/17/2017 11:26:29,-32.68299866
04/17/2017 11:26:30,-38.04000092
04/17/2017 11:26:35,-38.04000092
04/17/2017 11:26:36,-43.34899902
04/17/2017 11:26:41,-43.34899902
04/17/2017 11:26:42,-48.7120018
04/17/2017 11:26:47,-48.7120018
04/17/2017 11:26:48,-54.02299881
04/17/2017 11:26:53,-54.02299881
04/17/2017 11:26:54,-59.3429985
04/17/2017 11:26:59,-59.3429985
04/17/2017 11:27:00,-64.69200134
04/17/2017 11:27:05,-64.69200134
04/17/2017 11:27:06,-70.05999756
04/17/2017 11:27:11,-70.05999756
04/17/2017 11:27:12,-75.41300201
04/17/2017 11:27:17,-75.41300201
04/17/2017 11:27:18,-80.69499969
04/17/2017 11:27:23,-80.69499969
04/17/2017 11:27:24,-86.06199646
04/17/2017 11:27:29,-86.06199646
04/17/2017 11:27:30,-91.44599915
04/17/2017 11:27:35,-91.44599915
04/17/2017 11:27:36,-96.78500366
04/17/2017 11:27:41,-96.78500366
