"data","valor"
17/04/2017 08:46:59,"-40,9459991455078"
17/04/2017 08:47:23,"-40,2350006103516"
17/04/2017 08:47:53,"-40,7109985351562"
17/04/2017 08:48:17,"-39,9799995422363"
17/04/2017 08:48:47,"-40,4790000915527"
17/04/2017 08:49:11,"-39,742000579834"
17/04/2017 08:49:41,"-40,2509994506836"
17/04/2017 08:50:05,"-39,5180015563965"
17/04/2017 08:50:35,"-40,0309982299805"
17/04/2017 08:50:59,"-39,2910003662109"
17/04/2017 08:51:29,"-39,7890014648437"
17/04/2017 08:51:53,"-39,060001373291"
17/04/2017 08:52:23,"-39,5769996643066"
17/04/2017 08:52:47,"-38,8240013122559"
17/04/2017 08:53:17,"-39,3419990539551"
17/04/2017 08:53:41,"-38,6059989929199"
17/04/2017 08:54:11,"-39,1230010986328"
17/04/2017 08:54:35,"-38,375"
17/04/2017 08:55:05,"-38,8889999389648"
17/04/2017 08:55:29,"-38,1650009155273"
17/04/2017 08:55:59,"-38,6549987792969"
17/04/2017 08:56:23,"-37,9490013122559"
17/04/2017 08:56:53,"-38,4259986877441"
17/04/2017 08:57:17,"-37,6720008850098"
17/04/2017 08:57:47,"-38,2039985656738"
17/04/2017 08:58:11,"-37,4780006408691"
17/04/2017 08:58:41,"-37,9819984436035"
17/04/2017 08:59:05,"-37,2550010681152"
17/04/2017 08:59:35,"-37,7550010681152"
17/04/2017 08:59:59,"-37,0040016174316"
17/04/2017 09:00:29,"-37,5130004882813"
17/04/2017 09:00:53,"-36,7700004577637"
17/04/2017 09:01:23,"-37,2840003967285"
17/04/2017 09:01:47,"-36,5519981384277"
17/04/2017 09:02:17,"-37,0670013427734"
17/04/2017 09:02:47,"-36,318000793457"
17/04/2017 09:03:11,"-36,8170013427734"
17/04/2017 09:03:41,"-36,0629997253418"
17/04/2017 09:04:05,"-36,5859985351562"
17/04/2017 09:04:35,"-35,8380012512207"
17/04/2017 09:04:59,"-36,3660011291504"
17/04/2017 09:05:29,"-35,6180000305176"
17/04/2017 09:05:53,"-36,1380004882812"
17/04/2017 09:06:29,"-35,7960014343262"
17/04/2017 09:06:53,"-35,898998260498"
17/04/2017 09:07:17,"-35,148998260498"
17/04/2017 09:07:47,"-35,6650009155273"
17/04/2017 09:08:11,"-34,9179992675781"
17/04/2017 09:08:41,"-35,4449996948242"
17/04/2017 09:09:05,"-34,6769981384277"
17/04/2017 09:09:35,"-35,2080001831055"
17/04/2017 09:10:05,"-34,435001373291"
17/04/2017 09:10:29,"-34,9420013427734"
17/04/2017 09:10:59,"-34,2169990539551"
17/04/2017 09:11:23,"-34,7239990234375"
17/04/2017 09:11:53,"-33,9749984741211"
17/04/2017 09:12:17,"-34,5250015258789"
17/04/2017 09:12:53,"-34,1679992675781"
17/04/2017 09:13:17,"-34,2809982299805"
17/04/2017 09:13:41,"-33,5320014953613"
17/04/2017 09:14:11,"-34,064998626709"
17/04/2017 09:14:35,"-33,2999992370605"
17/04/2017 09:15:05,"-33,8030014038086"
17/04/2017 09:15:35,"-33,0589981079102"
17/04/2017 09:15:59,"-33,5719985961914"
17/04/2017 09:16:29,"-32,8079986572266"
17/04/2017 09:16:53,"-33,3559989929199"
17/04/2017 09:17:23,"-32,601001739502"
17/04/2017 09:17:47,"-33,1139984130859"
17/04/2017 09:18:17,"-32,3810005187988"
17/04/2017 09:18:41,"-32,9039993286133"
17/04/2017 09:19:11,"-32,1419982910156"
17/04/2017 09:19:35,"-32,6539993286133"
17/04/2017 09:20:05,"-31,9109992980957"
17/04/2017 09:20:29,"-32,435001373291"
17/04/2017 09:20:59,"-31,7000007629395"
17/04/2017 09:21:29,"-32,2270011901855"
17/04/2017 09:21:59,"-31,443000793457"
17/04/2017 09:22:23,"-31,9570007324219"
17/04/2017 09:22:53,"-31,2250003814697"
17/04/2017 09:23:17,"-31,7110004425049"
17/04/2017 09:23:47,"-30,9930000305176"
17/04/2017 09:24:11,"-31,4850006103516"
17/04/2017 09:24:41,"-30,7730007171631"
17/04/2017 09:25:05,"-31,2590007781982"
17/04/2017 09:25:35,"-30,5809993743896"
17/04/2017 09:25:59,"-31,0429992675781"
17/04/2017 09:26:29,"-30,3419990539551"
17/04/2017 09:26:53,"-30,7959995269775"
17/04/2017 09:27:23,"-30,0990009307861"
17/04/2017 09:27:47,"-30,57200050354"
17/04/2017 09:28:17,"-29,8600006103516"
17/04/2017 09:28:41,"-30,3579998016357"
17/04/2017 09:29:11,"-29,6580009460449"
17/04/2017 09:29:35,"-30,1420001983643"
17/04/2017 09:30:24,"-29,867000579834"
17/04/2017 09:30:30,"-29,875"
17/04/2017 09:30:59,"-29,1749992370605"
17/04/2017 09:31:23,"-29,6469993591309"
17/04/2017 09:31:53,"-28,943000793457"
17/04/2017 09:32:17,"-29,4249992370605"
17/04/2017 09:32:47,"-28,7220001220703"
17/04/2017 09:33:11,"-29,2320003509521"
17/04/2017 09:33:41,"-28,4969997406006"
17/04/2017 09:34:11,"-28,9659996032715"
17/04/2017 09:34:35,"-28,2360000610352"
17/04/2017 09:35:05,"-28,7280006408691"
17/04/2017 09:35:29,"-27,996000289917"
17/04/2017 09:35:59,"-28,503999710083"
17/04/2017 09:36:23,"-27,7859992980957"
17/04/2017 09:36:53,"-28,2800006866455"
17/04/2017 09:37:17,"-27,5790004730225"
17/04/2017 09:37:47,"-28,0550003051758"
17/04/2017 09:38:11,"-27,3290004730225"
17/04/2017 09:38:41,"-27,8209991455078"
17/04/2017 09:39:05,"-27,0919990539551"
17/04/2017 09:39:35,"-27,576000213623"
17/04/2017 09:39:59,"-26,8719997406006"
17/04/2017 09:40:29,"-27,3570003509521"
17/04/2017 09:40:59,"-26,6350002288818"
17/04/2017 09:41:23,"-27,1410007476807"
17/04/2017 09:41:53,"-26,4060001373291"
17/04/2017 09:42:17,"-26,8810005187988"
17/04/2017 09:42:47,"-26,1660003662109"
17/04/2017 09:43:11,"-26,6499996185303"
17/04/2017 09:43:41,"-25,9300003051758"
17/04/2017 09:44:05,"-26,4400005340576"
17/04/2017 09:44:35,"-25,6909999847412"
17/04/2017 09:44:59,"-26,19700050354"
17/04/2017 09:45:29,"-25,4950008392334"
17/04/2017 09:45:53,"-25,9680004119873"
17/04/2017 09:46:23,"-25,2390003204346"
17/04/2017 09:46:47,"-25,7320003509521"
17/04/2017 09:47:17,"-25,0069999694824"
17/04/2017 09:47:41,"-25,5109996795654"
17/04/2017 09:48:11,"-24,7959995269775"
17/04/2017 09:48:35,"-25,2889995574951"
17/04/2017 09:49:05,"-24,5699996948242"
17/04/2017 09:49:29,"-25,0429992675781"
17/04/2017 09:49:59,"-24,3269996643066"
17/04/2017 09:50:23,"-24,8099994659424"
17/04/2017 09:50:53,"-24,0869998931885"
17/04/2017 09:51:17,"-24,5960006713867"
17/04/2017 09:51:53,"-24,2569999694824"
17/04/2017 09:52:17,"-24,3640003204346"
17/04/2017 09:52:41,"-23,6149997711182"
17/04/2017 09:53:11,"-24,1270008087158"
17/04/2017 09:53:35,"-23,3799991607666"
17/04/2017 09:54:05,"-23,8729991912842"
17/04/2017 09:54:29,"-23,1590003967285"
17/04/2017 09:55:05,"-23,6420001983643"
17/04/2017 09:55:29,"-22,9029998779297"
17/04/2017 09:55:59,"-23,4190006256104"
17/04/2017 09:56:23,"-22,6909999847412"
17/04/2017 09:56:53,"-23,1749992370605"
17/04/2017 09:57:17,"-22,4559993743896"
17/04/2017 09:57:47,"-22,9459991455078"
17/04/2017 09:58:11,"-22,2159996032715"
17/04/2017 09:58:41,"-22,7049999237061"
17/04/2017 09:59:05,"-21,9729995727539"
17/04/2017 09:59:35,"-22,4820003509521"
17/04/2017 09:59:59,"-21,7719993591309"
17/04/2017 10:00:29,"-22,2609996795654"
17/04/2017 10:00:53,"-21,5389995574951"
17/04/2017 10:01:23,"-22,0130004882812"
17/04/2017 10:01:47,"-21,2900009155273"
17/04/2017 10:02:17,"-21,7819995880127"
17/04/2017 10:02:41,"-21,0310001373291"
17/04/2017 10:03:11,"-21,5699996948242"
17/04/2017 10:03:35,"-20,8360004425049"
17/04/2017 10:04:05,"-21,3349990844727"
17/04/2017 10:04:29,"-20,6070003509521"
17/04/2017 10:04:59,"-21,0919990539551"
17/04/2017 10:05:23,"-20,3700008392334"
17/04/2017 10:06:05,"-20,8470001220703"
17/04/2017 10:06:29,"-20,0699996948242"
17/04/2017 10:06:59,"-20,5809993743896"
17/04/2017 10:07:29,"-19,8430004119873"
17/04/2017 10:07:53,"-20,3610000610352"
17/04/2017 10:08:23,"-19,613000869751"
17/04/2017 10:08:53,"-20,1030006408691"
17/04/2017 10:09:17,"-19,371000289917"
17/04/2017 10:09:47,"-19,863000869751"
17/04/2017 10:10:17,"-19,0939998626709"
17/04/2017 10:10:41,"-19,6539993286133"
17/04/2017 10:11:11,"-18,8889999389648"
17/04/2017 10:11:35,"-19,3999996185303"
17/04/2017 10:12:05,"-18,6639995574951"
17/04/2017 10:12:29,"-19,181999206543"
17/04/2017 10:12:59,"-18,4090003967285"
17/04/2017 10:13:35,"-18,9150009155273"
17/04/2017 10:13:59,"-18,1650009155273"
17/04/2017 10:14:29,"-18,6770000457764"
17/04/2017 10:14:53,"-17,9300003051758"
17/04/2017 10:15:23,"-18,4400005340576"
17/04/2017 10:15:53,"-17,7019996643066"
17/04/2017 10:16:17,"-18,2199993133545"
17/04/2017 10:16:47,"-17,5"
17/04/2017 10:17:17,"-17,9570007324219"
17/04/2017 10:17:41,"-17,2290000915527"
17/04/2017 10:18:11,"-17,7129993438721"
17/04/2017 10:18:41,"-16,9869995117188"
17/04/2017 10:19:11,"-17,4810009002686"
17/04/2017 10:19:35,"-16,7609996795654"
17/04/2017 10:20:05,"-17,257999420166"
17/04/2017 10:20:29,"-16,5279998779297"
17/04/2017 10:21:05,"-16,9899997711182"
17/04/2017 10:21:29,"-16,2439994812012"
17/04/2017 10:22:05,"-16,7479991912842"
17/04/2017 10:22:35,"-15,9829998016357"
17/04/2017 10:23:05,"-16,4790000915527"
17/04/2017 10:23:29,"-15,7329998016357"
17/04/2017 10:23:59,"-16,2569999694824"
17/04/2017 10:24:23,"-15,5109996795654"
17/04/2017 10:24:59,"-15,9980001449585"
17/04/2017 10:25:29,"-15,2080001831055"
17/04/2017 10:25:59,"-15,7469997406006"
17/04/2017 10:26:23,"-14,9860000610352"
17/04/2017 10:26:53,"-15,5050001144409"
17/04/2017 10:27:23,"-14,7489995956421"
17/04/2017 10:27:53,"-15,2650003433228"
17/04/2017 10:28:17,"-14,5389995574951"
